beer	beer
brewer	brewer
water	water
barley	barley
lager	lager
cellar	cellar
porter	porter
cooper	cooper
filtered	filtered
beverage	beverage
consumer	consumer
flavour	flavour
factory	factory
grocery	grocery
container	container
preservative	preservative
colour	colour
sugar	sugar
butter	butter
consume	consume
survival	survival
organism	organism
evidence	evidence
vessel	vessel
alien	alien
drunkenness	drunkenness
stumble-across	stumble across
material	material
caramelise	caramelise
microbiology	microbiology
efficient	efficient
decompose	decompose
chemistry	chemistry
innovate	innovate
sustainability	sustainability
the-brewer-filtered-the-water-into-a-larger-vessel	The brewer filtered the water into a larger vessel.
a-tiny-organism-turns-sugar-into-a-beverage	A tiny organism turns sugar into a beverage.
the-consumer-wants-better-flavour-and-longer-shelf-life	The consumer wants better flavour and longer shelf life.
the-factory-stores-the-raw-material-in-a-cold-container	The factory stores the raw material in a cold container.
